Timestamp,EGT_C,N2_PctRPM,OilPressure_PSI,Vib1_IPS,Vib2_IPS,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,Scenario
2025-04-04 09:50:54.757121,903.55,90.13,56.1,0.79,0.77,Normal,OK,OK,Normal
2025-04-04 09:50:55.757121,898.7,90.38,55.58,1.0,1.01,Normal,OK,OK,Normal
2025-04-04 09:50:56.757121,894.69,90.21,,1.06,0.99,Normal,OK,OK,Normal
2025-04-04 09:50:57.757121,895.88,90.41,56.64,1.14,1.09,Normal,OK,OK,Normal
2025-04-04 09:50:58.757121,907.23,89.6,55.08,0.95,0.91,Normal,OK,OK,Normal
2025-04-04 09:50:59.757121,903.79,89.59,54.91,0.86,0.93,Normal,OK,OK,Normal
2025-04-04 09:51:00.757121,887.45,90.75,53.14,0.71,0.87,Normal,OK,OK,Normal
2025-04-04 09:51:01.757121,901.44,89.64,54.98,1.04,1.02,Normal,OK,OK,Normal
2025-04-04 09:51:02.757121,904.75,89.69,55.17,0.95,1.08,Normal,OK,OK,Normal
2025-04-04 09:51:03.757121,903.29,90.52,54.81,0.85,0.87,Normal,OK,OK,Normal
2025-04-04 09:51:04.757121,902.03,89.88,55.3,1.05,1.08,Normal,OK,OK,Normal
2025-04-04 09:51:05.757121,901.43,89.69,54.74,1.06,1.14,Normal,OK,OK,Normal
2025-04-04 09:51:06.757121,897.03,90.37,53.96,1.05,0.98,Normal,OK,OK,Normal
2025-04-04 09:51:07.757121,898.92,89.72,53.87,0.85,0.79,Normal,OK,OK,Normal
2025-04-04 09:51:08.757121,898.66,90.27,56.93,1.27,1.13,Normal,OK,OK,Normal
2025-04-04 09:51:09.757121,,90.07,54.74,0.96,0.94,Normal,OK,OK,Normal
2025-04-04 09:51:10.757121,905.88,89.39,56.5,1.22,1.18,Normal,OK,OK,Normal
2025-04-04 09:51:11.757121,,89.9,56.1,0.9,0.82,Normal,OK,OK,Normal
2025-04-04 09:51:12.757121,898.69,89.99,52.95,1.09,0.94,Normal,OK,OK,Normal
2025-04-04 09:51:13.757121,899.33,90.5,55.14,0.86,0.9,Normal,OK,OK,Normal
2025-04-04 09:51:14.757121,899.52,89.92,56.08,0.9,0.83,Normal,OK,OK,Normal
2025-04-04 09:51:15.757121,896.07,89.31,55.96,0.9,0.91,Normal,OK,OK,Normal
2025-04-04 09:51:16.757121,895.75,89.96,54.58,1.03,1.0,Normal,OK,OK,Normal
2025-04-04 09:51:17.757121,901.57,90.24,54.43,1.03,0.99,Normal,OK,OK,Normal
2025-04-04 09:51:18.757121,903.04,89.51,55.15,0.89,0.88,Normal,OK,OK,Normal
2025-04-04 09:51:19.757121,904.04,89.93,54.67,1.15,1.17,Normal,OK,OK,Normal
2025-04-04 09:51:20.757121,905.03,89.96,54.58,0.83,0.92,Normal,OK,OK,Normal
2025-04-04 09:51:21.757121,894.27,90.05,55.01,0.96,1.03,Normal,OK,OK,Normal
2025-04-04 09:51:22.757121,894.15,89.4,53.94,0.85,0.91,Normal,OK,OK,Normal
2025-04-04 09:51:23.757121,898.07,90.28,54.83,0.9,1.02,Normal,OK,OK,Normal
2025-04-04 09:51:24.757121,896.49,90.63,54.71,1.1,1.06,Normal,OK,OK,Normal
2025-04-04 09:51:25.757121,896.63,90.6,54.13,0.93,0.93,Normal,OK,OK,Normal
2025-04-04 09:51:26.757121,895.8,,56.5,1.06,1.01,Normal,OK,OK,Normal
2025-04-04 09:51:27.757121,906.82,90.56,54.45,1.19,1.24,Normal,OK,OK,Normal
2025-04-04 09:51:28.757121,903.42,90.1,56.25,1.09,1.02,Normal,OK,OK,Normal
2025-04-04 09:51:29.757121,895.41,90.25,57.05,0.79,0.79,Normal,OK,OK,Normal
2025-04-04 09:51:30.757121,896.26,89.73,54.17,1.07,1.08,Normal,OK,OK,Normal
2025-04-04 09:51:31.757121,907.76,90.62,54.46,1.11,1.16,Normal,OK,OK,Normal
2025-04-04 09:51:32.757121,905.76,89.62,54.94,1.19,1.13,Normal,OK,OK,Normal
