Timestamp,EGT_C,N2_PctRPM,OilPressure_PSI,Vib1_IPS,Vib2_IPS,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,Scenario
2025-04-02 09:25:46.907027,887.83,90.21,55.51,1.05,1.09,Normal,OK,OK,Normal
2025-04-02 09:25:47.907027,901.28,90.5,55.15,0.86,0.87,Normal,OK,OK,Normal
2025-04-02 09:25:48.907027,897.69,89.1,54.25,1.1,1.05,Normal,OK,OK,Normal
2025-04-02 09:25:49.907027,897.57,89.51,56.48,1.04,1.09,Normal,OK,OK,Normal
2025-04-02 09:25:50.907027,898.08,89.61,55.17,0.89,0.94,Normal,OK,OK,Normal
2025-04-02 09:25:51.907027,901.68,90.03,56.93,1.27,1.22,Normal,OK,OK,Normal
2025-04-02 09:25:52.907027,901.11,89.9,53.61,0.74,0.95,Normal,OK,OK,Normal
2025-04-02 09:25:53.907027,895.73,89.96,57.26,0.87,0.85,Normal,OK,OK,Normal
2025-04-02 09:25:54.907027,903.14,89.58,55.75,0.87,0.92,Normal,OK,OK,Normal
2025-04-02 09:25:55.907027,888.76,90.13,53.78,1.01,0.94,Normal,OK,OK,Normal
2025-04-02 09:25:56.907027,900.49,90.59,51.56,1.04,0.95,Normal,OK,OK,Normal
2025-04-02 09:25:57.907027,902.73,89.4,55.45,0.82,0.71,Normal,OK,OK,Normal
2025-04-02 09:25:58.907027,905.61,89.69,56.26,0.92,0.94,Normal,OK,OK,Normal
2025-04-02 09:25:59.907027,904.94,89.85,56.55,1.11,1.17,Normal,OK,OK,Normal
2025-04-02 09:26:00.907027,898.16,90.19,55.42,0.81,0.85,Normal,OK,OK,Normal
2025-04-02 09:26:01.907027,894.59,90.18,55.28,1.19,1.21,Normal,OK,OK,Normal
2025-04-02 09:26:02.907027,896.66,89.62,54.63,0.99,1.06,Normal,OK,OK,Normal
2025-04-02 09:26:03.907027,905.09,89.94,56.06,0.73,0.83,Normal,OK,OK,Normal
2025-04-02 09:26:04.907027,906.94,90.15,56.05,1.13,1.09,Normal,OK,OK,Normal
2025-04-02 09:26:05.907027,900.13,90.54,55.68,0.97,0.94,Normal,OK,OK,Normal
2025-04-02 09:26:06.907027,896.41,90.9,55.89,1.2,1.13,Normal,OK,OK,Normal
2025-04-02 09:26:07.907027,900.64,89.28,55.99,1.01,1.0,Normal,OK,OK,Normal
2025-04-02 09:26:08.907027,900.66,90.66,55.31,1.07,1.01,Normal,OK,OK,Normal
2025-04-02 09:26:09.907027,901.19,89.6,55.1,0.78,0.78,Normal,OK,OK,Normal
2025-04-02 09:26:10.907027,,90.13,55.69,1.13,1.03,Normal,OK,OK,Normal
2025-04-02 09:26:11.907027,896.98,,53.56,1.06,1.11,Normal,OK,OK,Normal
2025-04-02 09:26:12.907027,895.75,89.28,55.04,0.86,0.83,Normal,OK,OK,Normal
2025-04-02 09:26:13.907027,905.39,89.55,54.78,1.11,1.04,Normal,OK,OK,Normal
2025-04-02 09:26:14.907027,898.06,89.68,55.73,1.04,1.11,Normal,OK,OK,Normal
2025-04-02 09:26:15.907027,903.06,89.59,55.69,0.91,0.85,Normal,OK,OK,Normal
2025-04-02 09:26:16.907027,898.26,90.09,53.6,0.77,0.88,Normal,OK,OK,Normal
2025-04-02 09:26:17.907027,898.3,90.84,53.33,1.28,1.2,Normal,OK,OK,Normal
2025-04-02 09:26:18.907027,899.23,89.74,54.23,1.18,1.2,Normal,OK,OK,Normal
2025-04-02 09:26:19.907027,,89.07,52.82,0.91,0.82,Normal,OK,OK,Normal
2025-04-02 09:26:20.907027,900.37,88.98,53.92,0.92,0.92,Normal,OK,OK,Normal
2025-04-02 09:26:21.907027,896.65,89.72,53.81,0.95,1.01,Normal,OK,OK,Normal
2025-04-02 09:26:22.907027,892.82,89.54,55.67,0.89,0.82,Normal,OK,OK,Normal
2025-04-02 09:26:23.907027,891.66,89.88,56.51,1.03,0.93,Normal,OK,OK,Normal
2025-04-02 09:26:24.907027,899.56,90.35,56.01,0.97,0.98,Normal,OK,OK,Normal
2025-04-02 09:26:25.907027,906.47,89.83,56.32,0.9,1.02,Normal,OK,OK,Normal
2025-04-02 09:26:26.907027,904.25,90.09,55.04,1.04,0.84,Normal,OK,OK,Normal
2025-04-02 09:26:27.907027,898.63,89.8,54.21,1.03,0.97,Normal,OK,OK,Normal
2025-04-02 09:26:28.907027,891.32,89.88,57.26,1.03,1.17,Normal,OK,OK,Normal
2025-04-02 09:26:29.907027,894.74,89.76,55.33,1.01,1.02,Normal,OK,OK,Normal
2025-04-02 09:26:30.907027,894.53,90.06,56.15,1.2,1.33,Normal,OK,OK,Normal
2025-04-02 09:26:31.907027,899.87,90.03,55.21,0.73,0.74,Normal,OK,OK,Normal
2025-04-02 09:26:32.907027,899.43,89.77,55.11,1.04,0.99,Normal,OK,OK,Normal
2025-04-02 09:26:33.907027,906.59,89.8,55.72,1.04,1.06,Normal,OK,OK,Normal
2025-04-02 09:26:34.907027,892.98,89.47,56.69,1.0,0.92,Normal,OK,OK,Normal
2025-04-02 09:26:35.907027,897.13,90.58,54.39,1.02,0.97,Normal,OK,OK,Normal
2025-04-02 09:26:36.907027,897.85,90.39,54.48,1.28,1.28,Normal,OK,OK,Normal
2025-04-02 09:26:37.907027,896.71,90.01,55.32,0.94,0.96,Normal,OK,OK,Normal
2025-04-02 09:26:38.907027,891.97,89.92,54.78,0.97,0.99,Normal,OK,OK,Normal
2025-04-02 09:26:39.907027,899.47,89.76,56.12,1.16,1.12,Normal,OK,OK,Normal
2025-04-02 09:26:40.907027,899.85,90.03,55.45,0.93,0.93,Normal,OK,OK,Normal
2025-04-02 09:26:41.907027,904.68,90.35,54.09,0.97,1.01,Normal,OK,OK,Normal
2025-04-02 09:26:42.907027,907.62,89.22,55.11,0.9,0.96,Normal,OK,OK,Normal
2025-04-02 09:26:43.907027,910.39,90.81,55.64,0.69,0.74,Normal,OK,OK,Normal
